timestamp,symbol,action,product,result,errors,warnings
2026-04-28 09:31:18,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1029.98 > 984.0) — locking in profit
2026-04-28 09:31:20,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1413.0 > 1412.94) — locking in profit
2026-04-28 09:31:22,NTPC,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (406.0 > 404.5) — locking in profit
2026-04-28 09:31:24,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1029.98 > 984.0) — locking in profit
2026-04-28 09:31:26,NTPC,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (406.0 > 404.5) — locking in profit
2026-04-28 09:31:28,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1029.98 > 984.0) — locking in profit
2026-04-28 09:31:30,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1413.0 > 1412.94) — locking in profit
2026-04-28 09:31:32,NTPC,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (406.0 > 404.5) — locking in profit
2026-04-28 10:11:41,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1032.38 > 984.0) — locking in profit
2026-04-28 10:11:43,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1418.0 > 1412.94) — locking in profit
2026-04-28 10:11:45,NTPC,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (408.0 > 404.5) — locking in profit
2026-04-28 10:11:47,TORNTPOWER,MODIFY,CNC,PASSED,,
2026-04-28 10:11:49,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1032.38 > 984.0) — locking in profit
2026-04-28 10:11:51,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1413.0 > 1412.94) — locking in profit
2026-04-28 10:11:53,NTPC,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (406.0 > 404.5) — locking in profit
2026-04-28 10:11:55,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1032.38 > 984.0) — locking in profit
2026-04-28 10:11:57,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1413.0 > 1412.94) — locking in profit
2026-04-28 10:42:38,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1032.38 > 984.0) — locking in profit
2026-04-28 10:42:40,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1418.0 > 1412.94) — locking in profit
2026-04-28 10:42:42,NTPC,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (406.0 > 404.5) — locking in profit
2026-04-28 10:42:44,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1735.0 > 1734.0) — locking in profit
2026-04-28 10:42:46,MAHABANK,MODIFY,CNC,PASSED,,
2026-04-28 10:42:48,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1035.0 > 984.0) — locking in profit
2026-04-28 10:42:50,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1418.0 > 1412.94) — locking in profit
2026-04-28 10:42:52,NTPC,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (406.0 > 404.5) — locking in profit
2026-04-28 10:42:54,TORNTPOWER,MODIFY,CNC,PASSED,,
